year,mean_r
1970,0.273340
1971,0.251714
1972,0.274354
1973,0.255013
1974,0.245894
1975,0.195127
1976,0.206617
1977,0.251551
1978,0.247922
1979,0.289375
1980,0.283213
1981,0.290003
1982,0.321969
1983,0.413396
1984,0.456448
1985,0.417013
1986,0.375119
1987,0.404216
1988,0.444195
1989,0.432061
1990,0.372462
1991,0.350209
1992,0.336459
1993,0.348712
1994,0.362242
1995,0.361142
1996,0.358068
1997,0.346250
1998,0.360552
1999,0.343089
2000,0.359162
2001,0.322302
2002,0.312302
2003,0.240993
2004,0.265659
2005,0.274477
2006,0.309118
2007,0.276716
2008,0.185226
2009,0.233934
2010,0.307116
2011,0.331630
2012,0.358229
2013,0.310169
2014,0.294051
2015,0.323571
2016,0.353504
2017,0.346691
2018,0.339022
2019,0.319559
2020,0.281169
